iter	Logloss
0	0.6126087196
1	0.5402159073
2	0.4857512245
3	0.4534888779
4	0.4110211554
5	0.3846936387
6	0.3681044035
7	0.3438835764
8	0.3309161071
9	0.3210518557
10	0.3027770943
11	0.2909681459
12	0.2834009243
13	0.2773754092
14	0.2727747882
15	0.268628146
16	0.2649779086
17	0.2591380278
18	0.2560233662
19	0.2475356989
20	0.2450953627
21	0.2377711541
22	0.230665917
23	0.2260130291
24	0.2232313787
25	0.2206944929
26	0.2186630165
27	0.2172252025
28	0.2161906385
29	0.2153289637
30	0.214330935
31	0.2118640282
32	0.210638036
33	0.2061139237
34	0.205359652
35	0.1998880013
36	0.199210431
37	0.1953219608
38	0.1906437989
39	0.1896944183
40	0.1872474781
41	0.1865516416
42	0.1860166399
43	0.1820428839
44	0.181352583
45	0.180829324
46	0.1802969969
47	0.1797335092
48	0.1794116907
49	0.1789751706
50	0.1781361092
51	0.1778657489
52	0.1776367822
53	0.1758608476
54	0.1754105437
55	0.1749710614
56	0.1747606677
57	0.1708740607
58	0.1705142717
59	0.1700174598
60	0.1698905592
61	0.1696287869
62	0.169416931
63	0.1691042743
64	0.1689415319
65	0.1689005207
66	0.168847763
67	0.1686173381
68	0.168540539
69	0.1684436137
70	0.165555732
71	0.1655028271
72	0.1653196855
73	0.1649555785
74	0.1647899754
75	0.1646202013
76	0.1644729742
77	0.1644534989
78	0.161844098
79	0.1616593021
80	0.1613344145
81	0.1611768083
82	0.1611008183
83	0.1609487716
84	0.1608595475
85	0.160665163
86	0.1598079438
87	0.1569737481
88	0.1568777832
89	0.1568176722
90	0.1558252414
91	0.1557478706
92	0.1556059881
93	0.1555623789
94	0.1539635839
95	0.1534386766
96	0.1534140134
97	0.1532585625
98	0.1531192681
99	0.1530674693
100	0.1510350397
101	0.1509694517
102	0.1508892204
103	0.1508064412
104	0.1507595474
105	0.1506948207
106	0.1506647318
107	0.149936871
108	0.1498540555
109	0.1498428856
110	0.1497222933
111	0.1497133709
112	0.1496247001
113	0.1496125724
114	0.1495471296
115	0.1493769336
116	0.1492704822
117	0.1492187048
118	0.149067654
119	0.1489585627
120	0.1488571741
121	0.148807997
122	0.1487564145
123	0.1487541205
124	0.148743979
125	0.1486390842
126	0.1484976023
127	0.1484777214
128	0.1484764893
129	0.148465506
130	0.1483394324
131	0.1448270641
132	0.1448021629
133	0.1447823106
134	0.1447791146
135	0.1447485692
136	0.144702466
137	0.1446925663
138	0.1446905182
139	0.1446320438
140	0.1443857046
141	0.1443550956
142	0.1442476343
143	0.1442283004
144	0.1441353216
145	0.1441053222
146	0.1441051392
147	0.1441050021
148	0.1440945648
149	0.1439892503
150	0.1439549612
151	0.1439466084
152	0.143663554
153	0.1436634579
154	0.1435906952
155	0.143552213
156	0.1419057536
157	0.139545348
158	0.1394875803
159	0.1394846281
160	0.1394293651
161	0.1393560177
162	0.1391609948
163	0.1391430461
164	0.1391422504
165	0.1380162106
166	0.1379732805
167	0.1379130292
168	0.1378977071
169	0.1377764285
170	0.1375625251
171	0.1375387884
172	0.1375226223
173	0.1375027689
174	0.1375027459
175	0.1374389345
176	0.137433747
177	0.1369433294
178	0.1369249113
179	0.1368299354
180	0.1368297555
181	0.1368011011
182	0.1367569566
183	0.1367493932
184	0.1367114868
185	0.1366357399
186	0.1366357234
187	0.136422293
188	0.1363490731
189	0.1362335716
190	0.1361712605
191	0.136143001
192	0.1358770365
193	0.1356615855
194	0.1356415424
195	0.1354824127
196	0.1353834615
197	0.1353588948
198	0.1353068029
199	0.1352486153
200	0.135213304
201	0.1351987873
202	0.135194046
203	0.1350555293
204	0.1348089713
205	0.1347963273
206	0.1347558805
207	0.1346044222
208	0.134591269
209	0.1345522696
210	0.1344681864
211	0.1329056182
212	0.1328619187
213	0.132694202
214	0.1326201898
215	0.1325608428
216	0.1325417309
217	0.1325074511
218	0.1324587561
